name,difficulty,lap,length,direction,year,month,day,release_date,theme,track_id,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_record,AVG_record,percentage
신화 오딘의 궁전,3,2,8.3,반시계방향,2018,12,13,2018-12-13,신화,40c309ab0a138e090c42d8d265bc464a40196c338c899c04be8ac83552f5a30f,59,484,156,32.2314,16143666,136810.7288,0.074
빌리지 손가락 2,4,2,7.6,8자형,2007,11,8,2007-11-08,빌리지,90eec0c786ac7ad4be603ae3a67965c9ccf8e928594ec7941fa44611e51bd15f,58,311,74,23.7942,18611406,175579.3019,0.073
[R] 빌리지 시계탑 운하,2,3,4.8,반시계방향,2019,3,28,2019-03-28,빌리지,97e10a4f59bd19d60888eab81c4e2ea53f2579bf99a5195cf298a211711b6303,58,811,653,80.5179,17363694,188735.8043,0.073
브로디 에너지의 원천,1,3,7.3,시계방향,2011,12,22,2011-12-22,브로디,bd1df39255690da9d335e0054a2771b50c9af591a8be1c26a939c4b449780be0,58,112,7,6.25,8071770,109077.973,0.073
절망의 카타콤,5,1,15.5,단선형,2021,4,1,2021-04-01,공동묘지,60b648ee4485f1eede64e3e9b5d71752d6237ddd3650bd012f55176701b835e3,57,531,226,42.5612,33158596,301441.7818,0.071
WKC 브라질 서킷,4,2,8.2,반시계방향,2011,8,11,2011-08-11,WKC,dcd0ec84cf5920e12ad5bc13461ba3deaab0bad143f28606b1db34426ed263a2,54,365,154,42.1918,12885881,138557.8602,0.068
올림포스 선택의 문,2,3,4.9,반시계방향,2020,12,10,2020-12-10,올림포스,bfd558c15104ec3ef0f182893a3c9bd77052ce7675028c86dd92a45fa52e8ed5,53,88,12,13.6364,4516099,75268.31667,0.066
광산의 지배자,6,1,17.1,단선형,2021,4,1,2021-04-01,광산,03f7cfe4dc950329d0fd519fe1c5755b54582b30ebed338fa605b4ddd04c0315,52,425,207,48.7059,33607967,373421.8556,0.065
포레스트 통곡의 절벽,4,2,8.3,시계방향,2020,11,12,2020-11-12,포레스트,4c27123c74544b9ec5503f8ff37a0aed4b6257ad900abf2fcb5e6c029b78c55a,52,584,263,45.0342,22691825,184486.3821,0.065
어비스 숨겨진 바닷길,4,2,7.6,반시계방향,2019,12,12,2019-12-12,어비스,4b46091f3a72e4d4425ff0793b3791eabbc15cb84f762c302c750483267a8a9a,50,623,521,83.6276,20380802,188711.1296,0.063
[R] 사막 빙글빙글 공사장,6,2,8.2,반시계방향,2005,4,21,2005-04-21,사막,b925d9e4efc94e1f61c300340eab1db324dc80476d73fff1668a1767c98201f4,49,643,788,122.5505,20080212,198813.9802,0.061
네모 메디아 은신처,2,3,6,반시계방향,2016,12,15,2016-12-15,네모,312525ff7273befba2df23ea3ff2936fbba4ab4ae081ead545ceeef3f6d1631f,47,113,32,28.3186,4474754,84429.32075,0.059
브로디 거대한 에너지 생산기,2,3,5,시계방향,2011,12,22,2011-12-22,브로디,47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,47,83,4,4.8193,4285876,77925.01818,0.059
광산 아슬아슬 궤도 전차,3,3,6.6,시계방향,2007,12,27,2007-12-27,광산,f4d1552bfea034d5eed948e632b6d2e1a210983ce485b0699ece061841893013,47,342,142,41.5205,10938425,133395.4268,0.059
아이스 투명동굴,1,3,6,시계방향,2004,6,1,2004-06-01,아이스,21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,46,277,248,89.5307,8367527,102043.0122,0.058
[R] 포레스트 지그재그,5,2,9.2,이중 8자형,2005,4,28,2005-04-28,포레스트,72a02ceee940d4a33892b828515e07d7695dfec17534452f62839cbaed2c0f98,45,436,123,28.211,20363540,180208.3186,0.056
월드 파리 드라이브,2,2,6.6,반시계방향,2015,12,23,2015-12-23,월드,e1fd0bf641271d2baf88a1f68a779a375f5259c56ad860a57a5cc529dfce98d5,45,199,41,20.603,8668322,115577.6267,0.056
마비노기 바올 던전,4,2,7.7,이중 워프형,2021,12,16,2021-12-16,마비노기,a9a8be547d729112e02f1301f2b6a43ee3cbdcaad32c3d926811aa6c9bd2c1dc,43,478,488,102.0921,12617214,124922.9109,0.054
대해적 로두마니,6,1,14.8,단선형,2021,4,1,2021-04-01,해적,6c9a71c4d3f843af9bf3f129cf9f4a213cd79f73db8f016ae7a005703c0cec0e,42,478,720,150.6276,23651700,307164.9351,0.053
마비노기 던바튼,2,3,5.6,시계방향,2021,12,16,2021-12-16,마비노기,f62450db52ad3875acb8eceeba700f861fa3e510e316a07466b97a84737fea2c,42,172,19,11.0465,6407112,92856.69565,0.053
공동묘지 해골 손가락,3,3,6.3,시계방향,2004,11,11,2004-11-11,공동묘지,70b1478080c29c0058805dd742f2d0427f7e47dafb8e9f847d9d25b93837eb22,41,340,227,66.7647,9213838,119660.2338,0.051
해적 상어섬의 비밀,4,2,9.5,시계방향,2014,11,6,2014-11-06,해적,9e7607980870bee91d7353f86d449f988480428b7e8b10d7be4d5be2e54bbee6,41,325,91,28,14393079,179913.4875,0.051
어비스 운명의 갈림길,2,2,6.6,반시계방향,2020,5,14,2020-05-14,어비스,6d9074afa379ec224ad4e77da0fe41e3fc1495557fa66ec4b0e20f41d85e832c,40,571,352,61.6462,12521657,103484.7686,0.05
공동묘지 비밀의 해골제단,2,3,5.9,시계방향,2013,8,22,2013-08-22,공동묘지,6fadee14cba0c0795841e24d4f4ae58d2f5f74956c5d23f82edb7bb1aca54916,40,72,0,0,4422920,88458.4,0.05
문힐시티 터널 속 무법자,2,3,6,8자형,2007,7,12,2007-07-12,문힐시티,c9d352942e136a8fc1e56d0772f00e29149252aebc222ed77ad5feea2bacf6c3,40,80,4,5,5306449,98267.57407,0.05
노르테유 붕붕 점프,2,3,5.4,반시계방향,2006,10,26,2006-10-26,노르테유,75fe6fe1cf114683a0308334e9a9079f9882ba1dc9124dbb45cb5b257e1e4c9c,39,339,86,25.3687,7969365,99617.0625,0.049
월드 그리스의 휴일,2,2,6,반시계방향,2015,12,23,2015-12-23,월드,783f08e9fdaa169ec3138eecf72451e9439211d414e200e65462bd318fbef9c5,38,86,2,2.3256,6041257,95892.96825,0.048
문힐시티 지피의 시청광장,3,3,7.9,시계방향,2012,11,2,2012-11-02,문힐시티,381322773234251df86c96e4745cb63a77fb2c43633b7a1cc032ae7677c5a0c7,37,404,118,29.2079,11501106,111661.2233,0.046
놀이동산 스릴만점 레일특급,2,3,7.9,시계방향,2012,8,30,2012-08-30,놀이동산,50fcdefd4c4bd9c6af14151be6c227ab661255e920a043ce2bf2bc03426480f4,37,218,159,72.9358,7671956,125769.7705,0.046
광산 보석채굴장,3,3,7.5,시계방향,0,0,0,1900-01-00,광산,cb9790f64ce28a230f7a5d76945adb36012a2acfa7108b5285f1af8f00eb0e0d,37,96,14,14.5833,6551470,123612.6415,0.046
[R] 빌리지 운하,1,3,4.8,반시계방향,2005,4,14,2005-04-14,빌리지,ce4a7c488607311283b4e3948d18c45140e6be9575b27a204f5bf32662b18c91,36,258,48,18.6047,7024108,80736.87356,0.045
[R] 해적 로비 절벽의 전투,4,2,8.8,반시계방향,2007,2,15,2007-02-15,,9543832bdcc21248c9ebcd1790867a0c268ee39574dddab2a4411dc40dca7065,35,403,126,31.2655,12747711,163432.1923,0.044
놀이동산 워터 슬라이드,2,2,6.3,8자형,2020,10,15,2020-10-15,놀이동산,4ac2a1e802e3c2f6370f55b8629879a84389e5fa511547f0f88d928a5583d7db,34,528,438,82.9545,10099107,108592.5484,0.043
문힐시티 지피의 미완성 빌딩,2,3,5.7,시계방향,2008,3,20,2008-03-20,문힐시티,6f39b6766c8a93b662250c86c038154139b42448d12f0cea3adbfc45d16f4788,34,119,28,23.5294,4824385,94595.78431,0.043
아이스 짜릿한 동계 훈련장,2,2,8.6,시계방향,2010,3,25,2010-03-25,아이스,88a9beef1044ebe0987d8e3df4cce564df126710bf92099784a4f037932901dd,33,101,5,4.9505,7467967,135781.2182,0.041
비치 수상비행장,2,3,9.3,시계방향,2013,7,11,2013-07-11,해변,b04674084c57c63a15b87495d48e654fa12a96342dcac1b27f645bb891cdf0c8,33,166,59,35.5422,6949178,151069.087,0.041
님프 요정 마을의 초대,2,3,6,반시계방향,2009,7,9,2009-07-09,님프,5be6b53ddfcab325d85c16b5dc147d1f47a258e7db0df786554ccf46c053bb55,32,155,70,45.1613,3928925,91370.34884,0.04
WKC 싱가폴 마리나 서킷,2,2,7.1,반시계방향,2019,8,22,2019-08-22,WKC,e86138a3a04c138f991da883d4052ff3a00624ba9eb29d00452948d908a0de4c,32,115,44,38.2609,4596730,109445.9524,0.04
노르테유 부스터존 점령작전,2,3,6.6,시계방향,2007,3,8,2007-03-08,노르테유,28bc49ae36eecd5016c5340b31d24cf981567b5ceed2b642798256007fde9497,30,107,40,37.3832,5239078,109147.4583,0.038
도검 두 마리의 용,3,2,10,이중 8자형,2018,9,20,2018-09-20,도검,d6dba79d27e739554fb7c948b99868a381599344fb512de17e9392dc8ac405ed,30,260,80,30.7692,7709192,120456.125,0.038
네모 구구 둥지,2,3,7.8,워프형,2017,1,12,2017-01-12,네모,b891b515ffdf97ad4d5b3dfccedcbb37a66726748700ebb6033e0bf8803b4270,29,104,23,22.1154,5460092,118697.6522,0.036
대저택 루이의 장난감 천국,3,3,6,반시계방향,2008,12,18,2008-12-18,대저택,e60a23798eb0f55e5867398340696299e9a40dd87ec6e9aac92c48e99eb1405f,29,265,138,52.0755,5858981,136255.3721,0.036
차이나 빙등축제,3,2,5.6,시계방향,2012,10,11,2012-10-11,차이나,f5d05f8cdd97615df080dc7e90ae00cd8fcb7eb2b0f711b9b250560a386a713a,29,175,37,21.1429,5768031,106815.3889,0.036
차이나 동방명주의 밤,2,3,6.6,반시계방향,2015,5,21,2015-05-21,차이나,fdbe9025514e73fe3e4f991d804ede46d2deacfcf8aef2d055a12dd63d225d0d,29,250,41,16.4,7181438,105609.3824,0.036
