name,difficulty,lap,length,direction,year,month,day,release_date,theme,track_id,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_record,AVG_record,percentage
빌리지 운하,1,3,4.8,시계방향,2004,6,1,2004-06-01,빌리지,3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,10325,215222,70792,32.8925,1809053528,51731.58502,12.914
트랙 9,2,1,3.5,단선형,2013,8,8,2013-08-08,해변,973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,7067,12807,3766,29.4058,457084946,55451.28545,8.839
노르테유 허공의 갈림길,2,3,3.9,반시계방향,2005,8,25,2005-08-25,노르테유,caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,5343,8232,1794,21.793,346111840,58982.93115,6.683
코리아 제주 해오름 다운힐,2,1,5.6,단선형,2021,8,12,2021-08-12,코리아,b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,4183,25468,8688,34.1134,496217651,68794.90517,5.232
빌리지 고가의 질주,2,2,7.4,시계방향,2004,6,1,2004-06-01,빌리지,7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,2714,30486,10096,33.1168,780886822,116969.2663,3.395
비치 해변 드라이브,2,2,9.9,반시계방향,2013,7,11,2013-07-11,해변,1aac63e559f6f5890c9e90e2f8ffb2691e45aafbc5d148523405be3292b9785c,2140,24805,11344,45.7327,653733950,128865.3558,2.677
사막 버려진 오아시스,1,3,6,시계방향,2004,6,1,2004-08-01,사막,bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1543,7449,3560,47.7916,219874298,104354.1993,1.93
메이플 헤네시스 공원,2,2,6.4,시계방향,2022,7,21,2022-07-21,메이플,0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1507,20226,7559,37.3727,379016080,98933.98068,1.885
빌리지 남산,2,2,8.2,시계방향,2012,11,29,2012-11-29,빌리지,81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,1457,19645,5778,29.4121,419392821,109673.8549,1.822
메이플 리스항구 언덕길,2,2,6,워프형,2022,7,21,2022-07-21,메이플,73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,1452,19738,8864,44.9083,316402232,92515.27251,1.816
