map_name,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_match_time,AVG_match_time
"빌리지 운하",10325,215222,70792,32.8925,1809053528,51731.58501572777
"트랙 9",7067,12807,3766,29.4058,457084946,55451.28545432488
"노르테유 허공의 갈림길",5343,8232,1794,21.7930,346111840,58982.931152010904
"코리아 제주 해오름 다운힐",4183,25468,8688,34.1134,496217651,68794.90517121863
"빌리지 고가의 질주",2714,30486,10096,33.1168,780886822,116969.266327142
"비치 해변 드라이브",2140,24805,11344,45.7327,653733950,128865.35580524345
"사막 버려진 오아시스",1543,7449,3560,47.7916,219874298,104354.19933554817
"메이플 헤네시스 공원",1507,20226,7559,37.3727,379016080,98933.98068389455
"빌리지 남산",1457,19645,5778,29.4121,419392821,109673.85486401674
"메이플 리스항구 언덕길",1452,19738,8864,44.9083,316402232,92515.27251461988
"WKC 코리아 서킷",1311,19796,6257,31.6074,445464231,120722.01382113821
"네모 산타의 비밀공간",1104,16638,9466,56.8939,319743535,120566.94381598794
"월드 뉴욕 대질주",1085,15975,6617,41.4210,287109095,101165.99541930937
"메이플 레헬른 악몽의 시계탑",1079,15722,11523,73.2922,337434196,136668.36614013772
"차이나 상해 동방명주",1048,10206,3545,34.7345,259852845,104737.14026602177
"차이나 라사",1039,17778,6998,39.3633,371755188,124708.21469305603
"메이플 리스항구 선착장",1030,1954,369,18.8843,96160664,75717.05826771654
"월드 리오 다운힐",978,15833,5327,33.6449,231017785,81950.26073075559
"월드 두바이 다운타운",931,17109,9299,54.3515,315850928,120232.55728968405
"빌리지 운명의 다리",894,14771,7801,52.8129,327059407,145489.0600533808
"노르테유 스카이웨이",852,14073,8563,60.8470,301792882,143369.54014251783
"쥐라기 공룡 무덤",828,14534,5217,35.8951,290386616,115876.54269752593
"WKC 크레이지 10",825,19948,11755,58.9282,90770424,55246.758368837494
"신화 신들의 세계",821,15442,4222,27.3410,272210324,101571.01641791045
"빌리지 손가락",816,6533,3359,51.4159,202436477,122023.19288728149
"WKC 투어링 랠리",796,14644,6741,46.0325,222638835,103408.65536460752
"네모 장난감 선물공장",793,12917,5707,44.1821,182159263,86413.31261859582
"브로디 비밀의 연구소",722,14779,5935,40.1583,337601307,148265.83530961792
"쥐라기 공룡 결투장",722,14597,7386,50.5994,276906800,130863.3270321361
"차이나 서안 병마용",719,5739,2349,40.9305,182189832,126784.85177453027
"차이나 황산",700,14469,6742,46.5962,195689220,92349.79707409155
"WKC 싱가폴 서킷",697,6956,3428,49.2812,230137837,150515.2629169392
"차이나 북경 자금성",677,6658,3024,45.4190,149970697,99913.85542971353
"월드 이탈리아 피사의 사탑",661,14803,8051,54.3876,170986092,82842.0988372093
"차이나 서안 병마용 2",647,15169,8546,56.3386,215596458,105892.1699410609
"빌리지 두개의 관문",618,5446,2266,41.6085,142836143,107314.90833959429
"빌리지 고가의 질주 2",614,5617,1797,31.9922,157849105,120311.81783536586
"1920 기차역 질주",614,5859,1964,33.5211,177839446,134624.86449659348
"1920 아슬아슬 비행장",572,12590,5069,40.2621,290360797,158667.10218579235
"포레스트 골짜기",517,5694,2536,44.5381,139797212,117279.54026845637
"사막 베거이 시장",509,5031,1877,37.3087,110746588,92674.9690376569
"포레스트 기암괴석",505,4271,1281,29.9930,94274833,89444.81309297912
"포레스트 행복한 팬더 마을",498,4601,1757,38.1874,99554565,94543.74643874644
"노르테유 익스프레스",491,3799,1706,44.9066,145690742,155985.8051391863
"코리아 한국민속촌",458,911,163,17.8924,47202602,84140.11051693404
"마비노기 티르 코네일",428,659,36,5.4628,37211762,72537.5477582846
"어비스 배틀 콜로세움",408,4600,2318,50.3913,80849696,84218.43333333333
"대저택 은밀한 지하실",392,2461,958,38.9273,107969208,156250.66280752534
"도검 월하문",359,3770,1756,46.5782,62946200,91892.26277372263
"네모 네모난 마을",333,3839,2447,63.7406,4380989611,6034420.951790634
