map_name,cnt_match,log_cnt
빌리지 운하,1438,7.271703706887368
트랙 9,1152,7.050122520269059
사막 버려진 오아시스,912,6.816735880594968
코리아 제주 해오름 다운힐,776,6.655440350367647
노르테유 허공의 갈림길,756,6.6293632534374485
빌리지 고가의 질주,391,5.971261839790462
비치 해변 드라이브,322,5.777652323222656
메이플 헤네시스 공원,270,5.602118820879701
메이플 리스항구 언덕길,253,5.537334267018537
빌리지 남산,239,5.480638923341991
WKC 코리아 서킷,208,5.342334251964811
차이나 라사,194,5.272999558563747
메이플 레헬른 악몽의 시계탑,191,5.2574953720277815
월드 뉴욕 대질주,169,5.135798437050262
네모 장난감 선물공장,165,5.111987788356544
노르테유 스카이웨이,162,5.093750200806762
네모 산타의 비밀공간,157,5.062595033026967
월드 리오 다운힐,157,5.062595033026967
월드 두바이 다운타운,150,5.017279836814924
빌리지 운명의 다리,144,4.976733742420574
WKC 투어링 랠리,143,4.969813299576001
쥐라기 공룡 결투장,141,4.955827057601261
신화 신들의 세계,138,4.9344739331306915
차이나 상해 동방명주,136,4.919980925828125
쥐라기 공룡 무덤,134,4.90527477843843
메이플 리스항구 선착장,133,4.897839799950911
차이나 황산,126,4.844187086458591
차이나 서안 병마용,124,4.8283137373023015
차이나 서안 병마용 2,117,4.770684624465665
빌리지 손가락,115,4.7535901911063645
월드 이탈리아 피사의 사탑,111,4.718498871295094
WKC 크레이지 10,109,4.700480365792417
WKC 싱가폴 서킷,108,4.6913478822291435
브로디 비밀의 연구소,106,4.672828834461906
빌리지 고가의 질주 2,103,4.6443908991413725
포레스트 기암괴석,100,4.61512051684126
1920 기차역 질주,100,4.61512051684126
빌리지 두개의 관문,99,4.605170185988092
1920 아슬아슬 비행장,98,4.59511985013459
차이나 북경 자금성,96,4.574710978503383
포레스트 골짜기,84,4.442651256490317
포레스트 행복한 팬더 마을,81,4.406719247264253
사막 베거이 시장,76,4.343805421853684
노르테유 익스프레스,66,4.204692619390966
네모 네모난 마을,65,4.189654742026425
대저택 은밀한 지하실,63,4.1588830833596715
마비노기 티르 코네일,62,4.143134726391533
코리아 한국민속촌,57,4.060443010546419
