map_name,cnt_match,log_cnt,난이도,랩,트랙 길이,진행 방향,년,월,일,출시일
포레스트 오싹한 공중다리,19,2.995732273553991,4,2,9.2,시계방향,2008,09,04,2008-09-04
황금문명 비밀장치의 위협,19,2.995732273553991,4,2,8.5,반시계방향,2012,03,08,2012-03-08
missing,18,2.9444389791664403,missing,0,0.0,missing,0,,,
빌리지 만리장성,18,2.9444389791664403,4,2,7.8,시계방향,2011,05,26,2011-05-26
아이스 아찔한 헬기 점프,18,2.9444389791664403,4,2,9.4,반시계방향,2011,02,10,2011-02-10
동화 다오와 콩나무,18,2.9444389791664403,2,3,9.6,워프형,2007,01,11,2007-01-11
빌리지 지우펀,18,2.9444389791664403,4,1,5.5,단선형,2012,09,06,2012-09-06
네모 메디아 은신처,17,2.8903717578961645,2,3,6.0,반시계방향,2016,12,15,2016-12-15
팩토리 미완성 5구역,17,2.8903717578961645,5,1,5.7,반시계방향,2006,06,29,2006-06-29
신화 빛의 길,17,2.8903717578961645,2,2,6.1,워프형,2018,12,13,2018-12-13
광산 3개의 지름길,17,2.8903717578961645,4,3,6.7,반시계방향,2012,02,02,2012-02-02
해적 가파른 감시탑,16,2.833213344056216,4,2,8.0,반시계방향,2008,11,27,2008-11-27
메이플 헤네시스 오솔길,16,2.833213344056216,missing,0,0.0,missing,0,,,
빌리지 익스트림 경기장,16,2.833213344056216,3,2,7.4,시계방향,2008,05,22,2008-05-22
카멜롯 펜드래건 캐슬,15,2.772588722239781,3,2,7.9,워프형,2020,07,23,2020-07-23
포레스트 아찔한 다운힐,15,2.772588722239781,5,1,7.2,단선형,2007,02,22,2007-02-22
광산 아슬아슬 궤도 전차,14,2.70805020110221,3,3,6.6,시계방향,2007,12,27,2007-12-27
차이나 용의 운하,13,2.6390573296152584,2,2,9.2,반시계방향,2020,10,29,2020-10-29
신화 차원의 관문,13,2.6390573296152584,2,2,6.5,워프형,2019,07,01,2019-07-01
[R] 차이나 골목길 대질주,13,2.6390573296152584,4,2,9.6,반시계방향,2022,07,07,2022-07-07
공동묘지 유령습격,12,2.5649493574615367,1,3,5.7,시계방향,2006,11,16,2006-11-16
문힐시티 지피의 시청광장,12,2.5649493574615367,3,3,7.9,시계방향,2012,11,02,2012-11-02
아이스 부서진 빙산,12,2.5649493574615367,5,2,8.6,시계방향,2006,12,21,2006-12-21
어비스 스카이라인,12,2.5649493574615367,4,2,8.2,워프형,2019,12,12,2019-12-12
노르테유 행성 저 멀리,11,2.4849066497880004,1,3,5.7,반시계방향,2007,05,10,2007-05-10
동화 마녀의 성,11,2.4849066497880004,3,2,8.6,시계방향,2011,12,01,2011-12-01
어비스 숨겨진 바닷길,11,2.4849066497880004,4,2,7.6,반시계방향,2019,12,12,2019-12-12
노르테유 우주 정거장,11,2.4849066497880004,1,3,5.1,시계방향,2007,06,28,2007-06-28
황금문명 고디우스의 분노,11,2.4849066497880004,1,3,5.7,반시계방향,2007,12,20,2007-12-20
잊혀진 모래의 기억,11,2.4849066497880004,missing,0,0.0,missing,0,,,
사막 피라미드 탐험,11,2.4849066497880004,missing,0,0.0,missing,0,,,
코리아 인천 센트럴파크,10,2.3978952727983707,●●●○○○,2,6.8,반시계방향,2021,08,12,2021-08-12
포레스트 통곡의 절벽,10,2.3978952727983707,4,2,8.3,시계방향,2020,11,12,2020-11-12
포레스트 통나무,10,2.3978952727983707,1,3,6.0,반시계방향,2004,06,01,2004-06-01
[reverse] 빌리지 시계탑 운하,10,2.3978952727983707,missing,0,0.0,missing,0,,,
해적 상어섬의 비밀,10,2.3978952727983707,4,2,9.5,시계방향,2014,11,06,2014-11-06
브로디 에너지의 원천,10,2.3978952727983707,1,3,7.3,시계방향,2011,12,22,2011-12-22
월드 파리 드라이브,10,2.3978952727983707,2,2,6.6,반시계방향,2015,12,23,2015-12-23
쥐라기 공룡섬 대모험,10,2.3978952727983707,4,2,8.4,시계방향,2014,12,18,2014-12-18
빌리지 시계탑,9,2.302585092994046,2,3,6.3,8자형,2004,10,28,2004-10-28
절망의 카타콤,9,2.302585092994046,●●●●●●,1,15.5,단선형,2021,04,01,2021-04-01
빌리지 손가락 2,9,2.302585092994046,4,2,7.6,8자형,2007,11,08,2007-11-08
광산 보석채굴장,9,2.302585092994046,3,3,7.5,시계방향,0,,,
WKC 브라질 서킷,9,2.302585092994046,4,2,8.2,반시계방향,2011,08,11,2011-08-11
코리아 전주 한옥마을,8,2.1972245773362196,●●●○○○,2,7.1,시계방향,2021,07,22,2021-07-22
노르테유 부스터존 점령작전,8,2.1972245773362196,2,3,6.6,시계방향,2007,03,08,2007-03-08
신화 오딘의 궁전,8,2.1972245773362196,3,2,8.3,반시계방향,2018,12,13,2018-12-13
1920 수상한 증기 공장,8,2.1972245773362196,2,3,9.5,시계방향,2013,12,26,2013-12-26
[reverse] 포레스트 지그재그,8,2.1972245773362196,missing,0,0.0,missing,0,,,
아이스 짜릿한 동계 훈련장,8,2.1972245773362196,2,2,8.6,시계방향,2010,03,25,2010-03-25
마비노기 바올 던전,8,2.1972245773362196,missing,0,0.0,missing,0,,,
[reverse] 빌리지 운하,8,2.1972245773362196,missing,0,0.0,missing,0,,,
해적 짜릿한 고공비행,8,2.1972245773362196,2,3,6.9,시계방향,2006,07,13,2006-07-13
