map_name,track_id,cnt_match,percent_retire,AVG_record
빌리지 운하,3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,10325,15.0324,51731.58502
트랙 9,973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,7067,20.8078,55451.28545
노르테유 허공의 갈림길,caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,5343,17.2832,58982.93115
코리아 제주 해오름 다운힐,b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,4183,21.584,68794.90517
빌리지 고가의 질주,7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,2714,21.2592,116969.2663
비치 해변 드라이브,1aac63e559f6f5890c9e90e2f8ffb2691e45aafbc5d148523405be3292b9785c,2140,27.2896,128865.3558
사막 버려진 오아시스,bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1543,41.5645,104354.1993
메이플 헤네시스 공원,0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1507,26.3288,98933.98068
빌리지 남산,81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,1457,19.9372,109673.8549
메이플 리스항구 언덕길,73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,1452,31.1302,92515.27251
WKC 코리아 서킷,936626b1d09165291db82c65c8533f6a023e1f72669741706b70835bcffb699e,1311,20.3944,120722.0138
네모 산타의 비밀공간,a2bc792a460163af9b1d5726d8a125aa1ba1aa53b32a39be1bf0be2b7368154e,1104,36.8012,120566.9438
월드 뉴욕 대질주,929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,1085,27.1801,101165.9954
메이플 레헬른 악몽의 시계탑,c81f0b80597f0d4681dd925c08f9250512a7dd8dd9257244049bb879f9f767a5,1079,42.1316,136668.3661
차이나 상해 동방명주,78b3e43cada66683a9ffa6e9a932a68ca76c36893272338aa89f6cb5f27a0b23,1048,23.5486,104737.1403
차이나 라사,8d50ed8ae32a4ce260dd7d8303552f72f3e80f15d8bf4192aa4ffe784c81ca12,1039,26.6023,124708.2147
메이플 리스항구 선착장,b7cb8cf6cfe163b27b7cde2a66de24394bb51afc5102d0c04dbd39eab9bba05b,1030,13.3793,75717.05827
월드 리오 다운힐,f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,978,22.3251,81950.26073
월드 두바이 다운타운,37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,931,32.359,120232.5573
빌리지 운명의 다리,354aa746522dd2aa92b2f61dec2be4bcd215e13a1c522b47ff7ae31164bbfafc,894,34.4339,145489.0601
노르테유 스카이웨이,12170098c74c9d6d7db9abb0d5e0cde38c685b5c171f1d4f5b369abe2b22d61e,852,40.1849,143369.5401
쥐라기 공룡 무덤,577a231fed4029f30269a0bbb648f0bff8abfe94e88258db8ce33ad4ad8504fe,828,25.571,115876.5427
WKC 크레이지 10,aa3e9464fb5ec94b5daee8b6848c18d3ae9f441422f99f738fb0271c8a835bf6,825,57.1741,55246.75837
